Id,Prediction
2,5.0
19,5.0
20,5.0
34,5.0
36,4.0
40,5.0
41,5.0
44,1.0
50,5.0
64,3.0
79,1.0
80,4.0
81,3.0
84,5.0
87,5.0
92,5.0
94,5.0
97,1.0
98,1.0
99,4.0
100,1.0
102,5.0
103,4.0
104,5.0
106,3.0
107,5.0
115,5.0
117,5.0
118,5.0
124,5.0
131,5.0
143,1.0
147,5.0
153,5.0
158,3.0
160,1.0
161,2.0
163,5.0
164,5.0
167,5.0
169,5.0
174,5.0
176,5.0
179,5.0
197,5.0
203,4.0
207,1.0
217,5.0
222,4.0
224,1.0
229,3.0
231,1.0
247,1.0
248,5.0
256,4.0
259,5.0
267,5.0
270,5.0
275,4.0
276,4.0
281,5.0
284,5.0
287,5.0
303,1.0
305,5.0
311,3.0
312,5.0
317,4.0
325,5.0
326,5.0
331,5.0
332,1.0
338,5.0
341,5.0
349,5.0
352,5.0
360,3.0
365,1.0
371,2.0
373,5.0
374,1.0
393,5.0
397,1.0
404,5.0
426,5.0
431,5.0
432,1.0
438,5.0
443,5.0
450,5.0
457,4.0
466,5.0
467,5.0
475,5.0
478,5.0
488,5.0
491,1.0
497,5.0
500,5.0
504,5.0
505,4.0
506,3.0
522,3.0
524,5.0
528,3.0
541,5.0
542,5.0
548,1.0
549,2.0
555,5.0
559,3.0
566,5.0
568,5.0
576,4.0
577,5.0
579,5.0
581,5.0
584,5.0
597,2.0
598,5.0
601,1.0
613,1.0
616,5.0
617,5.0
628,4.0
632,5.0
636,5.0
637,4.0
640,3.0
641,5.0
644,5.0
646,5.0
657,4.0
670,5.0
673,5.0
677,5.0
678,5.0
682,5.0
684,5.0
685,5.0
686,5.0
697,5.0
700,5.0
702,4.0
707,4.0
709,5.0
714,5.0
716,5.0
718,5.0
721,4.0
731,4.0
733,3.0
738,5.0
742,5.0
743,5.0
748,5.0
763,5.0
764,5.0
768,5.0
782,5.0
784,1.0
786,5.0
794,5.0
795,5.0
797,5.0
805,5.0
808,5.0
811,5.0
814,5.0
815,3.0
816,5.0
817,5.0
825,1.0
842,1.0
848,5.0
856,3.0
858,5.0
866,5.0
867,5.0
871,5.0
875,5.0
877,1.0
880,5.0
882,1.0
883,4.0
886,4.0
898,5.0
904,1.0
906,4.0
912,3.0
914,3.0
924,4.0
939,2.0
943,5.0
945,4.0
946,5.0
950,5.0
952,5.0
953,5.0
956,5.0
957,3.0
962,5.0
972,5.0
978,5.0
984,1.0
990,5.0
991,5.0
993,5.0
996,4.0
1002,5.0
1004,5.0
1005,5.0
1020,5.0
1025,5.0
1028,5.0
1034,5.0
1036,5.0
1038,5.0
1040,5.0
1044,3.0
1066,4.0
1073,5.0
1077,5.0
1080,5.0
1081,5.0
1083,1.0
1091,5.0
1098,5.0
1106,4.0
1113,3.0
1115,5.0
1118,5.0
1129,5.0
1135,5.0
1136,5.0
1140,5.0
1143,5.0
1155,5.0
1161,4.0
1165,5.0
1169,5.0
1176,5.0
1178,4.0
1181,5.0
1183,5.0
1186,5.0
1188,1.0
1200,5.0
1203,5.0
1205,5.0
1216,5.0
1221,2.0
1226,5.0
1228,5.0
1231,5.0
1235,3.0
1244,3.0
1254,5.0
1259,5.0
1260,5.0
1261,5.0
1265,5.0
1267,5.0
1273,5.0
1274,1.0
1300,4.0
1303,5.0
1307,5.0
1308,3.0
1309,5.0
1311,1.0
1315,1.0
1323,4.0
1324,5.0
1327,5.0
1328,5.0
1332,3.0
1339,5.0
1350,5.0
1353,5.0
1354,2.0
1362,5.0
1366,5.0
1370,5.0
1373,4.0
1381,5.0
1382,5.0
1388,5.0
1391,1.0
1394,1.0
1396,1.0
1400,5.0
1410,2.0
1420,4.0
1437,5.0
1439,1.0
1440,5.0
1441,2.0
1448,5.0
1450,5.0
1452,5.0
1454,5.0
1459,5.0
1461,5.0
1462,5.0
1463,5.0
1467,4.0
1469,5.0
1471,5.0
1472,5.0
1473,5.0
1483,5.0
1489,5.0
1492,5.0
1493,5.0
1499,5.0
1500,3.0
1501,5.0
1506,5.0
1507,4.0
1516,5.0
1525,5.0
1529,5.0
1533,5.0
1536,3.0
1537,5.0
1545,5.0
1558,5.0
1561,5.0
1563,5.0
1565,5.0
1569,5.0
1574,5.0
1575,4.0
1578,3.0
1582,1.0
1589,5.0
1604,5.0
1605,5.0
1614,5.0
1621,1.0
1623,5.0
1626,5.0
1630,5.0
1631,5.0
1633,4.0
1639,1.0
1642,5.0
1644,4.0
1645,5.0
1653,5.0
1664,5.0
1670,5.0
1680,5.0
1685,5.0
1687,2.0
1689,5.0
1690,5.0
1691,5.0
1695,1.0
1698,5.0
1711,2.0
1712,5.0
1715,1.0
1723,5.0
1724,3.0
1736,2.0
1745,5.0
1746,1.0
1753,5.0
1756,2.0
1769,3.0
1776,5.0
1783,4.0
1786,2.0
1796,4.0
1797,4.0
1798,5.0
1803,5.0
1806,2.0
1811,2.0
1813,2.0
1823,5.0
1824,5.0
1828,5.0
1838,4.0
1840,5.0
1841,5.0
1846,4.0
1854,4.0
1858,5.0
1869,5.0
1872,5.0
1873,2.0
1876,5.0
1883,5.0
1885,3.0
1892,1.0
1894,5.0
1896,5.0
1902,5.0
1907,5.0
1908,5.0
1910,1.0
1918,5.0
1919,5.0
1922,5.0
1940,5.0
1946,5.0
1951,4.0
1957,4.0
1958,5.0
1959,5.0
1963,1.0
1965,1.0
1970,5.0
1974,5.0
1976,5.0
1985,1.0
1991,5.0
1994,5.0
1998,5.0
2000,5.0
2002,3.0
2003,5.0
2005,5.0
2010,5.0
2012,5.0
2018,5.0
2027,1.0
2034,5.0
2038,5.0
2041,5.0
2042,5.0
2044,5.0
2050,5.0
2053,1.0
2062,5.0
2063,1.0
2082,5.0
2083,5.0
2084,5.0
2085,5.0
2087,4.0
2102,1.0
2106,5.0
2108,4.0
2112,5.0
2113,5.0
2124,3.0
2134,5.0
2139,5.0
2159,5.0
2166,5.0
2173,4.0
2175,5.0
2178,5.0
2180,5.0
2182,5.0
2183,5.0
2189,4.0
2197,5.0
2215,3.0
2230,5.0
2231,3.0
2236,5.0
2237,5.0
2239,1.0
2240,4.0
2242,1.0
2247,3.0
2253,5.0
2260,4.0
2262,5.0
2264,5.0
2268,5.0
2277,5.0
2284,5.0
2292,5.0
2297,4.0
2302,5.0
2304,5.0
2305,1.0
2307,5.0
2312,4.0
2313,5.0
2315,5.0
2324,5.0
2330,5.0
2339,4.0
2340,4.0
2344,5.0
2352,5.0
2353,3.0
2365,4.0
2370,5.0
2373,5.0
2384,5.0
2389,5.0
2397,4.0
2402,4.0
2404,5.0
2407,5.0
2408,4.0
2410,5.0
2412,5.0
2419,5.0
2421,4.0
2424,5.0
2425,5.0
2428,5.0
2429,1.0
2433,1.0
2436,5.0
2443,5.0
2444,5.0
2451,5.0
2453,5.0
2457,5.0
2459,5.0
2460,4.0
2466,5.0
2468,1.0
2472,5.0
2473,1.0
2479,1.0
2483,5.0
2486,1.0
2488,3.0
2489,5.0
2490,5.0
2497,5.0
2501,5.0
2503,5.0
2505,1.0
2508,5.0
2516,5.0
2530,5.0
2531,5.0
2535,5.0
2538,5.0
2547,5.0
2552,1.0
2557,4.0
2559,5.0
2564,1.0
2566,3.0
2573,1.0
2578,3.0
2581,4.0
2584,5.0
2592,5.0
2599,5.0
2607,5.0
2612,5.0
2613,3.0
2614,5.0
2618,5.0
2619,5.0
2622,4.0
2624,5.0
2630,5.0
2635,5.0
2638,1.0
2639,3.0
2643,5.0
2647,5.0
2653,5.0
2656,5.0
2667,3.0
2672,5.0
2676,1.0
2678,5.0
2685,3.0
2687,5.0
2689,5.0
2691,5.0
2692,5.0
2694,5.0
2697,5.0
2703,5.0
2706,5.0
2709,5.0
2716,5.0
2717,5.0
2724,5.0
2727,5.0
2728,5.0
2729,5.0
2735,5.0
2739,5.0
2747,5.0
2757,2.0
2765,5.0
2766,5.0
2788,1.0
2791,5.0
2794,5.0
2796,5.0
2799,5.0
2802,5.0
2807,5.0
2811,5.0
2812,5.0
2816,5.0
2821,5.0
2826,5.0
2837,5.0
2845,5.0
2846,5.0
2851,5.0
2857,5.0
2858,5.0
2865,5.0
2868,1.0
2869,5.0
2875,5.0
2876,5.0
2880,4.0
2889,2.0
2898,4.0
2908,5.0
2917,3.0
2920,4.0
2921,5.0
2923,5.0
2931,5.0
2935,5.0
2942,5.0
2955,5.0
2959,4.0
2961,1.0
2962,5.0
2977,5.0
2990,5.0
2995,5.0
3001,5.0
3002,2.0
3005,4.0
3009,5.0
3011,4.0
3012,3.0
3013,5.0
3016,5.0
3022,3.0
3026,4.0
3037,5.0
3045,4.0
3058,5.0
3060,1.0
3061,5.0
3069,5.0
3071,5.0
3085,5.0
3087,4.0
3098,5.0
3099,5.0
3104,5.0
3107,5.0
3110,5.0
3113,5.0
3114,5.0
3120,5.0
3122,5.0
3124,3.0
3128,1.0
3133,5.0
3135,5.0
3144,4.0
3154,5.0
3155,5.0
3156,5.0
3158,2.0
3165,2.0
3166,1.0
3169,5.0
3177,5.0
3180,5.0
3182,1.0
3190,5.0
3191,4.0
3193,5.0
3196,4.0
3197,5.0
3209,5.0
3213,5.0
3217,5.0
3218,5.0
3223,5.0
3228,5.0
3229,5.0
3233,2.0
3237,5.0
3254,5.0
3258,5.0
3259,4.0
3275,5.0
3278,5.0
3279,5.0
3284,4.0
3289,5.0
3295,2.0
3301,5.0
3316,4.0
3318,5.0
3322,5.0
3327,4.0
3330,5.0
3332,4.0
3337,2.0
3338,5.0
3341,5.0
3359,5.0
3367,5.0
3374,5.0
3377,3.0
3380,5.0
3389,5.0
3397,4.0
3400,5.0
3405,4.0
3407,5.0
3409,5.0
3411,5.0
3414,5.0
3418,5.0
3419,5.0
3420,2.0
3421,4.0
3428,5.0
3429,4.0
3438,2.0
3448,3.0
3450,5.0
3451,5.0
3454,5.0
3464,5.0
3466,2.0
3469,5.0
3470,1.0
3473,5.0
3482,5.0
3490,5.0
3496,5.0
3499,5.0
3509,1.0
3518,5.0
3522,1.0
3528,5.0
3534,5.0
3535,4.0
3539,5.0
3544,5.0
3546,5.0
3549,5.0
3557,5.0
3559,1.0
3563,3.0
3578,5.0
3584,1.0
3602,5.0
3610,5.0
3618,5.0
3621,3.0
3627,5.0
3632,4.0
3634,5.0
3650,5.0
3653,1.0
3654,5.0
3656,3.0
3664,4.0
3665,4.0
3669,5.0
3674,4.0
3679,5.0
3681,5.0
3683,4.0
3688,5.0
3690,4.0
3697,4.0
3699,4.0
3711,5.0
3714,5.0
3717,5.0
3720,5.0
3721,5.0
3732,5.0
